Pos,Name,BV,SV,Team,36_xMins,36_Pts
F,Bamford,6.4,6.3,Leeds,80,4.874
M,Harrison,5.4,5.4,Leeds,78,3.417
M,Phillips,4.9,4.9,Leeds,81,2.432
M,Costa,5.0,5.0,Leeds,0,0
M,Roberts,4.6,4.6,Leeds,46,1.883
M,Grot,4.7,4.7,Leeds,0,0
G,Miazek,4.0,4.0,Leeds,0,0
M,Poveda-Ocampo,4.2,4.2,Leeds,11,0.441
M,Shackleton,4.8,4.8,Leeds,2,0.072
D,Struijk,4.0,4.0,Leeds,59,2.031
M,Stevens,4.3,4.3,Leeds,0,0
G,Meslier,4.7,4.7,Leeds,89,3.71
D,Davis,3.8,3.8,Leeds,0,0
D,Casey,3.8,3.8,Leeds,0,0
D,Morgan,4.4,4.4,Leicester,0,0
G,Schmeichel,5.4,5.4,Leicester,0,0
D,Fuchs,4.5,4.5,Leicester,0,0
D,Evans,5.6,5.6,Leicester,0,0
M,Silva,4.4,4.4,Leicester,0,0
M,Albrighton,5.2,5.2,Leicester,0,0
M,James,4.3,4.3,Leicester,0,0
G,Ward,4.3,4.3,Leicester,0,0
F,Vardy,10.2,10.3,Leicester,0,0
M,Praet,5.2,5.2,Leicester,0,0
D,Pereira,5.9,5.9,Leicester,0,0
D,Amartey,3.9,3.9,Leicester,0,0
M,Tielemans,6.4,6.4,Leicester,0,0
M,Pérez,6.0,6.0,Leicester,0,0
M,Gray,5.1,5.1,Leicester,0,0
M,Maddison,7.3,7.3,Leicester,0,0
D,Chilwell,5.9,5.9,Chelsea,0,0
F,Iheanacho,6.3,6.1,Leicester,0,0
M,Choudhury,4.6,4.6,Leicester,0,0
M,Barnes,6.6,6.6,Leicester,0,0
M,Ndidi,4.8,4.8,Leicester,0,0
D,Benkovic,4.3,4.3,Leicester,0,0
D,Söyüncü,5.3,5.3,Leicester,0,0
D,Justin,4.8,4.8,Leicester,0,0
D,Thomas,4.1,4.1,Leicester,0,0
M,Milner,5.3,5.3,Liverpool,34,1.639
D,Tsimikas,4.9,4.9,Liverpool,1,0.053
M,Wijnaldum,5.3,5.3,Liverpool,67,2.792
M,Henderson,5.4,5.4,Liverpool,0,0
G,Adrián,4.2,4.2,Liverpool,0,0
D,Matip,5.4,5.4,Liverpool,0,0
M,Shaqiri,6.4,6.4,Liverpool,7,0.404
M,Chamberlain,6.3,6.3,Liverpool,3,0.134
F,Firmino,9.0,9.0,Liverpool,59,3.583
D,van Dijk,6.2,6.2,Liverpool,0,0
M,Mané,11.7,11.7,Liverpool,78,6.28
G,Alisson,5.9,5.9,Liverpool,89,4.254
M,Fabinho,5.4,5.4,Liverpool,77,2.527
M,Salah,12.7,12.7,Liverpool,75,7.206
D,Robertson,7.1,7.1,Liverpool,88,5.097
F,Origi,5.1,5.1,Liverpool,0,0
M,Harry Wilson,5.1,5.1,Liverpool,0,0
M,Minamino,6.0,6.0,Southampton,11,0.551
D,Alexander-Arnold,7.6,7.5,Liverpool,87,5.594
D,Gomez,5.2,5.2,Liverpool,0,0
M,Keita,5.2,5.2,Liverpool,1,0.052
F,Brewster,4.2,4.2,Sheffield Utd,43,1.703
M,Jones,4.4,4.4,Liverpool,14,0.718
D,Neco Williams,3.8,3.8,Liverpool,1,0.046
M,Elliott,4.3,4.3,Liverpool,0,0
D,Fernandinho,5.4,5.4,Man City,35,1.835
G,Bravo,4.5,4.5,Man City,0,0
F,Agüero,10.3,10.3,Man City,38,2.951
D,Otamendi,4.9,4.9,Man City,0,0
D,Walker,6.1,6.1,Man City,16,0.815
M,Gündogan,5.6,5.6,Man City,51,3.041
M,De Bruyne,11.8,11.8,Man City,31,2.552
D,Stones,5.1,5.1,Man City,60,3.074
D,Mendy,5.9,5.9,Man City,37,1.931
M,Mahrez,8.0,8.0,Man City,43,3.271
M,Sterling,11.0,11.0,Man City,56,3.938
D,Cancelo,5.8,5.8,Man City,50,2.806
G,Ederson,6.1,6.1,Man City,89,4.36
D,Aké,5.4,5.4,Man City,31,1.642
D,Laporte,6.0,6.0,Man City,55,2.739
M,Bernardo Silva,7.4,7.4,Man City,65,3.377
F,Jesus,9.1,9.1,Man City,66,4.343
D,Zinchenko,5.5,5.5,Man City,30,1.651
M,Foden,6.0,6.0,Man City,52,3.744
M,Doyle,4.4,4.4,Man City,0,0
M,Rodrigo,5.3,5.3,Man City,78,3.101
M,Torres,6.9,6.9,Man City,35,2.206
D,Garcia,4.7,4.7,Man City,0,0
G,Romero,4.9,4.9,Man Utd,0,0
M,Mata,5.8,5.8,Man Utd,0,0
G,de Gea,5.3,5.3,Man Utd,0,0
D,Smalling,4.9,4.9,Man Utd,0,0
F,Ighalo,6.1,6.1,Man Utd,0,0
D,Rojo,4.8,4.8,Man Utd,0,0
M,Matic,4.7,4.7,Man Utd,0,0
M,Pogba,7.6,7.6,Man Utd,0,0
D,Jones,4.8,4.8,Man Utd,0,0
D,Maguire,5.6,5.6,Man Utd,0,0
M,Fred,5.3,5.3,Man Utd,0,0
D,Shaw,5.5,5.5,Man Utd,0,0
M,Lingard,6.6,6.3,West Ham,74,3.45
M,Fernandes,11.5,11.0,Man Utd,0,0
F,Martial,8.6,8.6,Man Utd,0,0
M,Pereira,4.8,4.8,Man Utd,0,0
G,Henderson,5.2,5.2,Man Utd,0,0
M,Rashford,9.6,9.6,Man Utd,0,0
D,Tuanzebe,4.1,4.1,Man Utd,0,0
D,Lindelöf,4.8,4.8,Man Utd,0,0
M,McTominay,4.9,4.9,Man Utd,0,0
D,Bailly,4.8,4.8,Man Utd,0,0
M,James,6.2,6.2,Man Utd,0,0
D,Fosu-Mensah,4.3,4.3,Man Utd,0,0
D,Wan-Bissaka,5.7,5.7,Man Utd,0,0
D,Dalot,4.8,4.8,Man Utd,0,0
M,Greenwood,7.2,7.1,Man Utd,0,0
M,Chong,4.4,4.4,Man Utd,0,0
M,Garner,4.4,4.4,Man Utd,0,0
D,Williams,4.2,4.2,Man Utd,0,0
D,Mengi,3.9,3.9,Man Utd,0,0
F,Carroll,5.1,5.1,Newcastle,6,0.249
M,Shelvey,5.3,5.3,Newcastle,85,2.327
M,Ritchie,4.9,4.9,Newcastle,78,2.381
D,Fernández,4.7,4.7,Newcastle,85,1.316
D,Clark,4.5,4.5,Newcastle,76,1.191
G,Darlow,4.9,4.9,Newcastle,0,0
G,Dubravka,4.8,4.8,Newcastle,89,3.166
D,Lejeune,4.3,4.3,Newcastle,0,0
D,Lascelles,4.2,4.2,Newcastle,0,0
F,Gayle,5.9,5.9,Newcastle,26,1.075
M,Atsu,5.2,5.2,Newcastle,0,0
D,Dummett,4.4,4.4,Newcastle,81,1.175
D,Manquillo,4.2,4.2,Newcastle,3,0.049
D,Krafth,4.2,4.2,Newcastle,25,0.419
D,Schär,4.8,4.8,Newcastle,0,0
D,Yedlin,4.3,4.3,Newcastle,0,0
M,Hayden,4.6,4.6,Newcastle,0,0
M,Aarons,4.8,4.8,Newcastle,0,0
M,Saint-Maximin,5.1,5.1,Newcastle,76,2.899
M,Almirón,5.6,5.6,Newcastle,73,2.45
F,Joelinton,5.7,5.7,Newcastle,72,2.487
F,Muto,4.8,4.8,Newcastle,0,0
D,Watts,3.9,3.9,Newcastle,0,0
F,Sharp,5.5,5.5,Sheffield Utd,0,0
F,McGoldrick,5.2,5.2,Sheffield Utd,74,2.868
D,Basham,4.6,4.6,Sheffield Utd,80,1.68
M,Fleck,5.6,5.6,Sheffield Utd,76,2.232
D,Stevens,5.0,5.0,Sheffield Utd,84,1.971
G,Moore,4.3,4.3,Sheffield Utd,0,0
M,Norwood,4.5,4.5,Sheffield Utd,67,2.239
G,Foderingham,4.3,4.3,Sheffield Utd,0,0
D,Baldock,4.9,4.9,Sheffield Utd,78,1.78
D,Jack Robinson,4.2,4.2,Sheffield Utd,52,1.078
D,Egan,4.7,4.7,Sheffield Utd,82,1.782
D,O'Connell,4.7,4.7,Sheffield Utd,0,0
M,Lundstram,4.8,4.8,Sheffield Utd,16,0.575
M,Osborn,4.7,4.7,Sheffield Utd,30,1.052
F,McBurnie,5.6,5.6,Sheffield Utd,0,0
F,Callum Robinson,5.2,5.2,West Brom,49,1.879
F,Mousset,5.8,5.8,Sheffield Utd,13,0.576
