Pos,Name,BV,SV,Team,37_xMins,37_Pts
D,Guilbert,4.3,4.3,Aston Villa,0,0
F,Wesley,6.0,6.0,Aston Villa,16,0.765
F,Samatta,5.9,5.9,Aston Villa,0,0
F,Davis,4.2,4.2,Aston Villa,11,0.479
F,Vassilev,4.3,4.3,Aston Villa,0,0
M,Douglas Luiz,4.8,4.8,Aston Villa,72,1.984
F,Murray,4.8,4.8,Brighton,0,0
M,Lallana,6.2,6.2,Brighton,70,2.287
M,Stephens,4.2,4.2,Burnley,3,0.093
G,Button,3.9,3.9,West Brom,0,0
M,Groß,5.8,5.8,Brighton,75,2.913
D,Duffy,4.3,4.3,Brighton,0,0
M,Pröpper,4.7,4.7,Brighton,4,0.134
M,Mooy,5.0,5.0,Brighton,0,0
D,Burn,4.2,4.2,Brighton,77,1.704
D,Dunk,4.8,4.9,Brighton,0,0
D,Montoya,4.5,4.5,Brighton,0,0
F,Andone,4.8,4.8,Brighton,15,0.623
M,March,4.9,4.9,Brighton,0,0
D,Webster,4.3,4.3,Brighton,85,1.898
D,Veltman,4.3,4.4,Brighton,41,0.934
F,Maupay,5.9,5.9,Brighton,0,0
M,Trossard,5.6,5.6,Brighton,72,2.666
G,Ryan,4.1,4.1,Arsenal,9,0.384
M,Jahanbakhsh,5.4,5.4,Brighton,52,1.824
M,Izquierdo,5.5,5.5,Brighton,5,0.174
D,Clarke,4.4,4.4,Brighton,0,0
D,White,4.5,4.5,Brighton,84,1.794
D,Bernardo,3.9,3.9,Brighton,0,0
M,Bissouma,4.4,4.4,Brighton,81,2.115
D,Lamptey,4.6,4.6,Brighton,0,0
F,Connolly,5.2,5.2,Brighton,16,0.663
M,Alzate,4.1,4.1,Brighton,6,0.205
M,Mac Allister,5.3,5.3,Brighton,48,1.713
D,Tarkowski,5.3,5.3,Burnley,85,1.388
D,Bardsley,4.4,4.4,Burnley,1,0.017
D,Pieters,4.3,4.3,Burnley,16,0.284
M,Cork,5.0,5.0,Burnley,60,1.68
D,Long,4.3,4.3,Burnley,0,0
F,Rodriguez,5.7,5.7,Burnley,19,0.776
F,Barnes,6.0,6.0,Burnley,42,1.811
D,Mee,4.7,4.7,Burnley,85,1.368
M,Westwood,5.3,5.3,Burnley,81,2.251
M,Gudmundsson,5.4,5.4,Burnley,39,1.374
F,Wood,6.5,6.4,Burnley,71,3.352
D,Lowton,4.4,4.4,Burnley,86,1.471
F,Vydra,4.8,4.8,Burnley,53,2.32
D,Gibson,3.9,3.9,Burnley,0,0
M,Brady,5.0,5.0,Burnley,0,0
G,Pope,5.5,5.5,Burnley,89,3.21
D,Taylor,4.4,4.4,Burnley,81,1.349
M,Brownhill,4.9,4.9,Burnley,76,2.336
G,Peacock-Farrell,4.0,4.0,Burnley,0,0
M,McNeil,5.7,5.7,Burnley,83,2.615
G,Caballero,4.6,4.6,Chelsea,0,0
D,Azpilicueta,5.8,5.9,Chelsea,51,2.235
F,Giroud,6.7,6.7,Chelsea,2,0.127
D,Alonso,5.7,5.7,Chelsea,46,2.37
M,Jorginho,4.7,4.7,Chelsea,46,1.952
M,Barkley,5.8,5.8,Aston Villa,42,1.863
M,Kovacic,5.3,5.3,Chelsea,63,2.104
F,Batshuayi,5.7,5.7,Crystal Palace,5,0.236
D,Rüdiger,4.7,4.7,Chelsea,69,2.915
D,Zouma,5.3,5.3,Chelsea,38,1.669
D,Emerson,4.7,4.7,Chelsea,0,0
G,Arrizabalaga,4.7,4.7,Chelsea,1,0.044
M,Kanté,4.9,4.9,Chelsea,32,1.079
M,Ziyech,7.9,7.9,Chelsea,43,2.41
M,Loftus-Cheek,5.9,5.9,Fulham,59,2.005
D,Christensen,4.7,4.7,Chelsea,64,2.622
F,Werner,9.2,9.2,Chelsea,67,3.572
F,Abraham,7.1,7.1,Chelsea,8,0.486
M,Pulisic,8.3,8.3,Chelsea,50,2.847
M,Mount,7.3,7.3,Chelsea,66,3.261
D,Tomori,4.7,4.7,Chelsea,0,0
M,Hudson-Odoi,5.7,5.7,Chelsea,15,0.748
D,James,5.1,5.1,Chelsea,68,3.162
M,Gilmour,4.3,4.3,Chelsea,7,0.252
D,Cahill,4.5,4.5,Crystal Palace,44,1.23
G,Hennessey,4.3,4.3,Crystal Palace,0,0
D,Sakho,4.4,4.4,Crystal Palace,0,0
G,Guaita,4.8,4.8,Crystal Palace,88,3.252
D,Tomkins,4.4,4.4,Crystal Palace,31,0.851
M,McArthur,5.2,5.2,Crystal Palace,37,1.183
M,McCarthy,4.3,4.3,Crystal Palace,10,0.32
F,Benteke,5.5,5.5,Crystal Palace,72,3.199
M,Kouyaté,4.8,4.8,Crystal Palace,73,2.071
D,Ward,4.3,4.3,Crystal Palace,79,2.077
D,Kelly,4.1,4.1,Crystal Palace,0,0
F,Wickham,4.4,4.4,Crystal Palace,0,0
M,Townsend,5.5,5.5,Crystal Palace,38,1.581
M,Milivojevic,5.6,5.6,Crystal Palace,76,2.49
D,van Aanholt,5.4,5.4,Crystal Palace,9,0.289
F,Ayew,5.6,5.6,Crystal Palace,51,2.025
M,Zaha,7.2,7.2,Crystal Palace,78,3.3
M,Schlupp,5.3,5.3,Crystal Palace,47,1.747
M,Meyer,4.7,4.7,Crystal Palace,0,0
M,Riedewald,4.4,4.4,Crystal Palace,43,1.365
D,Ferguson,3.8,3.8,Crystal Palace,0,0
D,Mitchell,3.8,3.8,Crystal Palace,76,1.964
M,Pierrick,4.3,4.3,Crystal Palace,0,0
M,Walcott,5.8,5.8,Southampton,45,2.006
M,Delph,4.8,4.8,Everton,8,0.262
M,Sigurdsson,6.9,6.9,Everton,64,3.452
G,Lössl,4.3,4.3,Everton,0,0
D,Coleman,4.9,4.9,Everton,43,2.054
F,Tosun,6.0,6.0,Everton,0,0
M,Bernard,5.7,5.7,Everton,14,0.626
D,Digne,6.2,6.2,Everton,81,4.183
D,Keane,5.0,5.0,Everton,74,3.297
G,Pickford,4.8,4.8,Everton,87,3.92
M,André Gomes,5.3,5.3,Everton,22,0.782
M,Iwobi,5.9,5.9,Everton,31,1.336
D,Kenny,4.3,4.3,Everton,0,0
M,Gbamin,5.0,5.0,Everton,0,0
D,Mina,5.5,5.5,Everton,39,1.728
M,Davies,5.2,5.2,Everton,34,1.255
F,Calvert-Lewin,7.6,7.5,Everton,79,4.536
D,Holgate,4.8,4.8,Everton,68,2.898
F,Richarlison,7.8,7.8,Everton,77,4.094
G,Virgínia,4.3,4.3,Everton,0,0
M,Gordon,4.3,4.3,Everton,0,0
F,Kean,5.7,5.7,Everton,0,0
D,Branthwaite,3.9,3.9,Everton,0,0
G,Fabri,3.9,3.9,Fulham,1,0.036
M,McDonald,4.7,4.7,Fulham,0,0
D,Le Marchand,4.1,4.1,Fulham,0,0
M,Johansen,4.7,4.7,Fulham,0,0
M,Cairney,5.2,5.2,Fulham,29,0.942
D,Ream,4.2,4.2,Fulham,1,0.021
M,Knockaert,5.0,5.0,Fulham,0,0
D,Hector,4.1,4.1,Fulham,0,0
D,Christie,4.2,4.2,Fulham,0,0
M,Kebano,4.7,4.7,Fulham,0,0
F,Decordova-Reid,5.3,5.3,Fulham,57,2.008
D,Bryan,4.5,4.5,Fulham,1,0.023
G,Bettinelli,4.3,4.3,Fulham,0,0
F,Mitrović,5.5,5.5,Fulham,35,1.501
D,Mawson,4.3,4.3,Fulham,0,0
G,Rodák,4.3,4.3,Fulham,0,0
M,Cavaleiro,5.3,5.3,Fulham,62,2.366
M,Onomah,4.6,4.6,Fulham,11,0.38
M,Seri,4.6,4.6,Fulham,0,0
M,Kamara,4.8,4.8,Fulham,0,0
M,Anguissa,4.4,4.4,Fulham,52,1.507
D,Sessegnon,4.3,4.3,Fulham,0,0
M,Hernández,5.7,5.7,Leeds,5,0.256
G,Casilla,4.1,4.1,Leeds,0,0
D,Cooper,4.3,4.3,Leeds,40,1.223
D,Douglas,3.8,3.8,Leeds,0,0
D,Ayling,4.4,4.4,Leeds,83,2.607
M,Klich,5.2,5.2,Leeds,51,2.098
M,Forshaw,4.8,4.8,Leeds,0,0
D,Dallas,5.4,5.2,Leeds,81,2.803
D,Alioski,4.3,4.3,Leeds,72,2.376
F,Bamford,6.5,6.4,Leeds,76,4.879
M,Harrison,5.5,5.4,Leeds,75,3.323
M,Phillips,4.9,4.9,Leeds,80,2.408
M,Costa,5.0,5.0,Leeds,0,0
M,Roberts,4.6,4.6,Leeds,44,1.818
M,Grot,4.7,4.7,Leeds,0,0
G,Miazek,4.0,4.0,Leeds,0,0
M,Poveda-Ocampo,4.2,4.2,Leeds,12,0.485
M,Shackleton,4.8,4.8,Leeds,2,0.072
D,Struijk,4.0,4.0,Leeds,50,1.545
M,Stevens,4.3,4.3,Leeds,0,0
G,Meslier,4.7,4.7,Leeds,89,3.501
D,Davis,3.8,3.8,Leeds,0,0
D,Casey,3.8,3.8,Leeds,1,0.03
D,Morgan,4.4,4.4,Leicester,0,0
G,Schmeichel,5.4,5.4,Leicester,88,3.337
D,Fuchs,4.5,4.5,Leicester,0,0
D,Evans,5.6,5.6,Leicester,65,1.712
M,Silva,4.4,4.4,Leicester,0,0
M,Albrighton,5.2,5.2,Leicester,54,1.835
M,James,4.3,4.3,Leicester,0,0
G,Ward,4.3,4.3,Leicester,1,0.038
F,Vardy,10.2,10.2,Leicester,82,3.645
M,Praet,5.2,5.2,Leicester,15,0.538
D,Pereira,5.9,5.9,Leicester,36,1.124
D,Amartey,3.9,3.9,Leicester,8,0.223
M,Tielemans,6.4,6.4,Leicester,83,2.677
M,Pérez,6.0,6.0,Leicester,49,2.049
M,Gray,5.1,5.1,Leicester,0,0
M,Maddison,7.3,7.3,Leicester,68,2.77
D,Chilwell,5.9,5.9,Chelsea,42,2.063
F,Iheanacho,6.2,6.3,Leicester,76,3.619
M,Choudhury,4.6,4.6,Leicester,5,0.15
M,Barnes,6.6,6.6,Leicester,0,0
M,Ndidi,4.8,4.8,Leicester,82,2.133
D,Benkovic,4.3,4.3,Leicester,0,0
D,Söyüncü,5.3,5.3,Leicester,81,2.09
D,Justin,4.8,4.8,Leicester,0,0
D,Thomas,4.1,4.1,Leicester,32,0.923
M,Milner,5.3,5.3,Liverpool,31,1.414
D,Tsimikas,4.9,4.9,Liverpool,3,0.15
M,Wijnaldum,5.3,5.3,Liverpool,66,2.696
M,Henderson,5.4,5.4,Liverpool,0,0
G,Adrián,4.2,4.2,Liverpool,0,0
D,Matip,5.4,5.4,Liverpool,0,0
M,Shaqiri,6.4,6.4,Liverpool,8,0.433
M,Chamberlain,6.3,6.3,Liverpool,4,0.173
F,Firmino,9.0,9.0,Liverpool,55,3.314
D,van Dijk,6.2,6.2,Liverpool,0,0
M,Mané,11.7,11.7,Liverpool,77,6.039
G,Alisson,5.9,5.9,Liverpool,88,4.035
M,Fabinho,5.4,5.4,Liverpool,80,2.601
M,Salah,12.8,12.7,Liverpool,73,6.771
D,Robertson,7.1,7.1,Liverpool,85,4.573
F,Origi,5.1,5.1,Liverpool,12,0.775
M,Harry Wilson,5.1,5.1,Liverpool,0,0
M,Minamino,6.0,6.0,Southampton,21,0.99
D,Alexander-Arnold,7.7,7.5,Liverpool,84,4.944
D,Gomez,5.2,5.2,Liverpool,0,0
M,Keita,5.2,5.2,Liverpool,1,0.051
F,Brewster,4.2,4.2,Sheffield Utd,44,1.965
M,Jones,4.4,4.4,Liverpool,20,0.956
D,Neco Williams,3.8,3.8,Liverpool,3,0.131
M,Elliott,4.3,4.3,Liverpool,0,0
D,Fernandinho,5.4,5.4,Man City,39,1.9
G,Bravo,4.5,4.5,Man City,0,0
F,Agüero,10.3,10.3,Man City,41,2.743
D,Otamendi,4.9,4.9,Man City,0,0
D,Walker,6.1,6.1,Man City,17,0.815
M,Gündogan,5.6,5.6,Man City,54,3.046
M,De Bruyne,11.8,11.8,Man City,24,1.631
D,Stones,5.1,5.1,Man City,58,2.778
D,Mendy,5.9,5.9,Man City,33,1.62
M,Mahrez,8.1,8.0,Man City,45,2.932
M,Sterling,11.0,11.0,Man City,58,3.616
D,Cancelo,5.8,5.8,Man City,45,2.364
G,Ederson,6.1,6.1,Man City,89,4.221
D,Aké,5.4,5.4,Man City,39,1.902
D,Laporte,6.0,6.0,Man City,55,2.566
M,Bernardo Silva,7.4,7.4,Man City,62,2.885
F,Jesus,9.1,9.1,Man City,65,3.704
D,Zinchenko,5.5,5.5,Man City,32,1.642
M,Foden,6.1,6.0,Man City,51,3.17
M,Doyle,4.4,4.4,Man City,0,0
M,Rodrigo,5.3,5.3,Man City,77,2.901
M,Torres,6.9,6.9,Man City,33,1.847
D,Garcia,4.7,4.7,Man City,0,0
G,Romero,4.9,4.9,Man Utd,0,0
M,Mata,5.8,5.8,Man Utd,15,0.812
G,de Gea,5.3,5.3,Man Utd,28,1.317
D,Smalling,4.9,4.9,Man Utd,0,0
F,Ighalo,6.1,6.1,Man Utd,0,0
D,Rojo,4.8,4.8,Man Utd,0,0
M,Matic,4.7,4.7,Man Utd,22,0.764
M,Pogba,7.6,7.6,Man Utd,59,3.067
D,Jones,4.8,4.8,Man Utd,0,0
D,Maguire,5.6,5.6,Man Utd,0,0
M,Fred,5.3,5.3,Man Utd,69,2.399
D,Shaw,5.5,5.5,Man Utd,82,4.024
M,Lingard,6.6,6.3,West Ham,69,4.02
M,Fernandes,11.4,10.9,Man Utd,79,6.236
F,Martial,8.6,8.6,Man Utd,0,0
M,Pereira,4.8,4.8,Man Utd,0,0
G,Henderson,5.2,5.2,Man Utd,61,2.905
M,Rashford,9.6,9.6,Man Utd,74,4.886
D,Tuanzebe,4.1,4.1,Man Utd,17,0.798
D,Lindelöf,4.8,4.8,Man Utd,85,3.933
M,McTominay,4.9,4.9,Man Utd,69,2.806
D,Bailly,4.8,4.8,Man Utd,76,3.422
M,James,6.2,6.2,Man Utd,22,1.139
D,Fosu-Mensah,4.3,4.3,Man Utd,0,0
D,Wan-Bissaka,5.7,5.7,Man Utd,86,4.306
D,Dalot,4.8,4.8,Man Utd,0,0
M,Greenwood,7.2,7.1,Man Utd,65,3.79
M,Chong,4.4,4.4,Man Utd,0,0
M,Garner,4.4,4.4,Man Utd,0,0
D,Williams,4.2,4.2,Man Utd,4,0.186
D,Mengi,3.9,3.9,Man Utd,0,0
F,Carroll,5.1,5.1,Newcastle,9,0.533
M,Shelvey,5.3,5.3,Newcastle,82,3.174
M,Ritchie,4.9,4.9,Newcastle,78,3.523
D,Fernández,4.7,4.7,Newcastle,82,3.623
D,Clark,4.5,4.5,Newcastle,72,3.18
G,Darlow,4.9,4.9,Newcastle,0,0
G,Dubravka,4.8,4.8,Newcastle,88,3.933
D,Lejeune,4.3,4.3,Newcastle,0,0
D,Lascelles,4.2,4.2,Newcastle,0,0
F,Gayle,5.9,5.9,Newcastle,27,1.624
M,Atsu,5.2,5.2,Newcastle,0,0
D,Dummett,4.4,4.4,Newcastle,78,3.074
D,Manquillo,4.2,4.2,Newcastle,6,0.238
D,Krafth,4.2,4.2,Newcastle,31,1.303
D,Schär,4.8,4.8,Newcastle,0,0
D,Yedlin,4.3,4.3,Newcastle,0,0
M,Hayden,4.6,4.6,Newcastle,0,0
M,Aarons,4.8,4.8,Newcastle,0,0
M,Saint-Maximin,5.1,5.1,Newcastle,73,4.555
M,Almirón,5.6,5.6,Newcastle,70,3.567
F,Joelinton,5.7,5.7,Newcastle,71,3.69
F,Muto,4.8,4.8,Newcastle,0,0
D,Watts,3.9,3.9,Newcastle,0,0
F,Sharp,5.5,5.5,Sheffield Utd,0,0
F,McGoldrick,5.2,5.2,Sheffield Utd,71,3.223
D,Basham,4.6,4.6,Sheffield Utd,77,1.982
M,Fleck,5.6,5.6,Sheffield Utd,73,2.28
D,Stevens,5.0,5.0,Sheffield Utd,83,2.419
G,Moore,4.3,4.3,Sheffield Utd,0,0
M,Norwood,4.5,4.5,Sheffield Utd,61,2.242
G,Foderingham,4.3,4.3,Sheffield Utd,0,0
D,Baldock,4.9,4.9,Sheffield Utd,74,2.084
D,Jack Robinson,4.2,4.2,Sheffield Utd,47,1.176
D,Egan,4.7,4.7,Sheffield Utd,78,2.062
D,O'Connell,4.7,4.7,Sheffield Utd,0,0
M,Lundstram,4.8,4.8,Sheffield Utd,18,0.688
M,Osborn,4.7,4.7,Sheffield Utd,29,1.074
F,McBurnie,5.6,5.6,Sheffield Utd,0,0
F,Callum Robinson,5.2,5.2,West Brom,50,2.109
F,Mousset,5.8,5.8,Sheffield Utd,17,0.841
M,Berge,4.9,4.9,Sheffield Utd,72,2.327
F,Long,5.1,5.1,Southampton,0,0
D,Bertrand,5.0,5.0,Southampton,0,0
G,McCarthy,4.4,4.4,Southampton,12,0.456
M,Oriol Romeu,4.5,4.5,Southampton,0,0
M,Redmond,6.4,6.4,Southampton,61,2.692
F,Ings,8.4,8.4,Southampton,71,4.364
D,Stephens,4.6,4.6,Southampton,66,1.989
M,Armstrong,5.5,5.5,Southampton,72,2.853
D,Vestergaard,4.7,4.7,Southampton,85,2.647
M,Ward-Prowse,5.9,5.9,Southampton,85,3.505
G,Gunn,4.3,4.3,Southampton,0,0
M,Boufal,5.4,5.4,Southampton,0,0
M,Reed,4.4,4.4,Fulham,55,1.518
M,Sims,4.3,4.3,Southampton,0,0
D,Walker-Peters,4.7,4.7,Southampton,83,2.448
D,Bednarek,4.7,4.7,Southampton,61,1.683
F,Adams,5.7,5.7,Southampton,63,3.415
D,Valery,4.7,4.7,Southampton,0,0
M,Smallbone,4.3,4.3,Southampton,0,0
D,Vokins,3.9,3.9,Southampton,0,0
F,Obafemi,4.6,4.6,Southampton,11,0.608
M,Djenepo,5.4,5.4,Southampton,33,1.293
G,Lloris,5.6,5.6,Spurs,88,3.772
D,Rose,4.7,4.7,Spurs,0,0
M,Sissoko,4.7,4.7,Spurs,14,0.525
D,Alderweireld,5.4,5.4,Spurs,75,2.913
M,Lamela,5.7,5.7,Spurs,33,1.651
F,Kane,11.8,11.8,Spurs,84,6.253
D,Aurier,5.2,5.2,Spurs,58,2.708
M,Son,9.7,9.6,Spurs,77,4.682
D,Dier,4.6,4.6,Spurs,76,3.029
M,Lucas Moura,6.5,6.5,Spurs,45,2.342
G,Gazzaniga,4.3,4.3,Spurs,0,0
M,Alli,7.4,7.4,Spurs,32,1.831
D,Davies,4.5,4.5,Spurs,0,0
M,Højbjerg,4.9,4.9,Spurs,82,2.56
M,Winks,5.1,5.1,Spurs,6,0.203
D,Sánchez,5.2,5.2,Spurs,14,0.521
D,Sessegnon,4.7,4.7,Spurs,0,0
M,Bergwijn,7.0,7.0,Spurs,4,0.187
M,Fernandes,4.7,4.7,Spurs,0,0
D,Tanganga,4.9,4.9,Spurs,1,0.037
M,Lo Celso,6.9,6.9,Spurs,53,2.157
M,Skipp,4.4,4.4,Spurs,0,0
M,Ndombele,5.9,5.9,Spurs,46,1.82
D,Foyth,4.3,4.3,Spurs,0,0
D,Gibbs,4.3,4.3,West Brom,7,0.179
F,Robson-Kanu,5.2,5.2,West Brom,16,0.78
M,Livermore,4.7,4.7,West Brom,9,0.303
M,Grosicki,5.2,5.2,West Brom,0,0
M,Phillips,5.1,5.1,West Brom,64,2.344
D,Bartley,4.4,4.4,West Brom,82,1.986
M,Sawyers,4.6,4.6,West Brom,3,0.093
D,Hegazi,4.1,4.1,West Brom,0,0
F,Austin,5.1,5.1,West Brom,0,0
F,Zohore,4.8,4.8,West Brom,0,0
G,Johnstone,4.6,4.6,West Brom,88,3.279
D,Townsend,4.4,4.4,West Brom,85,2.054
D,Ajayi,4.8,4.8,West Brom,65,1.701
M,Leko,4.5,4.5,West Brom,0,0
M,Edwards,4.6,4.6,West Brom,0,0
D,Furlong,4.5,4.5,West Brom,83,2.045
M,Field,4.8,4.8,West Brom,0,0
M,Burke,4.1,4.1,Sheffield Utd,51,2.302
D,O'Shea,4.2,4.2,West Brom,59,1.296
M,Harper,4.3,4.3,West Brom,0,0
M,Noble,4.5,4.5,West Ham,19,0.869
M,Snodgrass,5.6,5.6,West Brom,0,0
G,Martin,3.9,3.9,West Ham,0,0
G,Randolph,4.3,4.3,West Ham,1,0.044
G,Fabianski,5.0,5.0,West Ham,88,3.879
D,Ogbonna,4.7,4.7,West Ham,78,3.166
G,Roberto,4.5,4.5,West Ham,0,0
M,Wilshere,4.9,4.9,West Ham,0,0
D,Cresswell,5.6,5.6,West Ham,50,2.387
M,Yarmolenko,5.5,5.5,West Ham,31,1.639
F,Antonio,6.5,6.5,West Ham,73,4.559
D,Fredericks,4.2,4.2,West Ham,10,0.436
M,Lanzini,6.4,6.4,West Ham,15,0.669
M,Felipe Anderson,6.1,6.1,West Ham,0,0
F,Haller,6.1,6.1,West Ham,0,0
D,Masuaku,4.3,4.3,West Ham,38,1.655
D,Balbuena,4.1,4.1,West Ham,1,0.041
F,Hugill,5.5,5.5,West Ham,0,0
M,Bowen,5.9,5.9,West Ham,55,3.483
M,Diangana,5.0,5.0,West Brom,8,0.317
F,Ajeti,5.5,5.5,West Ham,0,0
M,Rice,4.7,4.7,West Ham,60,2.357
M,Soucek,5.2,5.2,West Ham,83,3.262
M,Fornals,5.8,5.8,West Ham,59,2.667
D,Diop,4.3,4.3,West Ham,46,1.839
D,Johnson,3.9,3.9,West Ham,11,0.507
G,Ruddy,4.3,4.3,Wolves,1,0.038
M,Moutinho,5.1,5.1,Wolves,77,2.346
G,Patrício,5.3,5.3,Wolves,88,3.332
D,Bennett,4.4,4.4,Wolves,0,0
D,Doherty,5.6,5.6,Spurs,26,1.115
D,Boly,5.4,5.4,Wolves,58,1.682
D,Coady,4.9,4.9,Wolves,67,1.792
F,Jiménez,8.1,8.1,Wolves,0,0
D,Saïss,4.9,4.9,Wolves,61,1.81
D,Jonny,5.4,5.4,Wolves,0,0
F,Bonatini,4.8,4.8,Wolves,0,0
M,Dendoncker,4.6,4.6,Wolves,64,2.062
M,Traoré,6.0,6.0,Wolves,77,2.802
M,Neves,5.1,5.1,Wolves,65,2.379
D,Buur,3.9,3.9,Wolves,0,0
M,Jota,7.0,7.0,Liverpool,52,3.8
M,Podence,5.3,5.3,Wolves,60,2.47
D,Kilman,3.9,3.9,Wolves,2,0.057
D,Vinagre,4.1,4.1,Wolves,0,0
G,Sarkic,4.4,4.4,Wolves,0,0
M,Gibbs-White,4.9,4.9,Wolves,40,1.579
M,Neto,5.5,5.5,Wolves,0,0
M,Jordao,4.3,4.3,Wolves,0,0
F,Campana,4.7,4.7,Wolves,0,0
M,Freeman,5.0,5.0,Sheffield Utd,0,0
M,Willian,7.5,7.5,Arsenal,40,2.164
D,Salisu,4.3,4.3,Southampton,45,1.37
M,Sean Longstaff,4.6,4.6,Newcastle,53,2.132
M,Pereira,5.4,5.4,West Brom,76,3.516
G,Hart,4.2,4.2,Spurs,0,0
G,Ramsdale,4.6,4.6,Sheffield Utd,89,3.342
D,Robinson,4.4,4.4,Fulham,76,1.519
M,Hendrick,4.5,4.5,Newcastle,11,0.452
D,Dann,4.2,4.2,Crystal Palace,33,0.932
M,Matty Longstaff,4.8,4.8,Newcastle,1,0.039
G,Gillespie,4.3,4.3,Newcastle,0,0
M,Eze,5.8,5.8,Crystal Palace,71,2.724
D,Thiago Silva,5.6,5.6,Chelsea,60,2.599
D,Koch,4.3,4.3,Leeds,31,1.02
F,Rodrigo,5.7,5.7,Leeds,35,1.78
M,Lemina,4.5,4.5,Fulham,49,1.39
D,Gabriel,4.9,4.9,Arsenal,59,2.477
M,van de Beek,6.6,6.6,Man Utd,10,0.508
D,Cash,5.0,5.0,Aston Villa,81,1.83
M,Murphy,4.9,4.9,Newcastle,81,3.072
D,Castagne,5.8,5.8,Leicester,63,1.943
D,Kipre,4.3,4.3,West Brom,0,0
M,Havertz,8.3,8.3,Chelsea,51,2.892
M,Ceballos,4.7,4.7,Arsenal,46,1.684
M,Allan,5.2,5.2,Everton,60,2.07
G,Walton,4.0,4.0,Brighton,0,0
F,Fabio Silva,5.2,5.2,Wolves,61,2.811
D,Marçal,4.7,4.7,Wolves,14,0.383
F,Wilson,6.5,6.5,Newcastle,0,0
M,Fraser,5.6,5.6,Newcastle,0,0
M,Rodríguez,7.7,7.7,Everton,39,2.227
D,Ampadu,4.3,4.3,Sheffield Utd,32,0.845
D,Bogle,4.3,4.3,Sheffield Utd,16,0.527
D,Lowe,4.2,4.2,Sheffield Utd,0,0
M,Doucouré,5.1,5.1,Everton,66,2.595
D,Lewis,4.1,4.1,Newcastle,4,0.16
F,Watkins,6.5,6.5,Aston Villa,79,3.527
M,Vitinha,4.7,4.7,Wolves,40,1.521
G,Areola,4.5,4.5,Fulham,88,3.142
D,Tete,4.3,4.3,Fulham,56,1.182
M,Mendy,4.2,4.2,Leicester,6,0.181
D,Dunne,3.8,3.8,Burnley,2,0.038
D,Thomas,3.9,3.9,Burnley,0,0
D,Carter-Vickers,3.9,3.9,Spurs,0,0
D,Woods,4.0,4.0,Crystal Palace,0,0
G,Forster,4.0,4.0,Southampton,77,2.933
M,Tella,4.3,4.3,Southampton,24,1.201
D,Odoi,4.2,4.2,Fulham,0,0
M,Elneny,4.2,4.2,Arsenal,47,1.568
G,Macey,4.0,4.0,Arsenal,0,0
G,Steele,3.9,3.9,Brighton,0,0
D,Jagielka,3.9,3.9,Sheffield Utd,1,0.027
