Pos,Name,BV,SV,Team,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts
D,Cooper,4.5,4.5,Leeds,78,2.638,66,1.294,66,2.071,69,2.078,69,2.902
D,Ayling,4.5,4.5,Leeds,87,3.181,83,1.794,82,2.798,78,2.596,78,3.624
M,Klich,5.5,5.5,Leeds,72,2.775,71,2.385,72,2.832,66,2.641,68,3.058
F,Rodrigo,6.4,6.4,Leeds,39,1.839,41,1.688,42,2.027,43,2.116,43,2.311
M,Dallas,5.5,5.5,Leeds,84,2.96,81,2.494,81,2.865,79,2.826,77,3.099
F,Bamford,8.0,8.0,Leeds,83,4.711,81,3.889,80,4.715,78,4.732,77,5.202
D,Llorente,4.5,4.5,Leeds,28,0.99,68,1.39,66,2.17,64,2.022,66,2.924
M,Phillips,5.0,5.0,Leeds,78,2.445,74,2.075,74,2.346,75,2.395,73,2.626
M,Costa,5.5,5.5,Leeds,19,0.856,23,0.908,23,1.05,27,1.245,25,1.269
M,Roberts,5.0,5.0,Leeds,23,1.076,23,0.939,26,1.234,27,1.303,28,1.505
D,Koch,4.5,4.5,Leeds,12,0.454,16,0.367,17,0.604,19,0.65,23,1.068
M,Poveda,4.5,4.5,Leeds,3,0.134,2,0.078,5,0.227,5,0.224,6,0.294
M,Raphinha,6.5,6.5,Leeds,87,4.81,70,3.25,77,4.394,80,4.622,79,5.245
M,Shackleton,4.5,4.5,Leeds,3,0.103,4,0.128,5,0.172,7,0.242,6,0.222
D,Struijk,4.5,4.5,Leeds,66,2.324,47,0.986,46,1.524,49,1.554,44,1.93
G,Meslier,5.0,5.0,Leeds,89,3.802,88,3.232,87,3.581,87,3.483,86,3.861
G,Schmeichel,5.0,5.0,Leicester,89,3.885,88,3.229,87,3.64,87,4.14,87,3.844
D,Evans,5.5,5.5,Leicester,0,0,27,0.622,54,1.875,70,3.456,70,2.94
M,Albrighton,5.5,5.5,Leicester,17,0.766,22,0.81,26,1.04,27,1.338,25,1.128
M,Mendy,4.5,4.5,Leicester,1,0.032,1,0.029,2,0.061,2,0.066,2,0.063
G,Ward,4.0,4.0,Leicester,0,0,1,0.037,2,0.084,1,0.048,1,0.044
F,Vardy,10.5,10.5,Leicester,80,4.976,78,3.482,78,3.941,77,5.157,74,4.409
M,Praet,5.0,5.0,Leicester,1,0.04,1,0.034,1,0.036,2,0.084,3,0.117
D,Pereira,5.5,5.5,Leicester,80,3.395,79,1.891,78,2.771,74,3.712,76,3.275
D,Amartey,4.0,4.0,Leicester,75,3.09,75,1.74,75,2.60,75,3.61,75,3.10
D,Castagne,5.4,5.4,Leicester,60,2.554,59,1.424,60,2.133,60,2.989,57,2.456
M,Tielemans,6.5,6.5,Leicester,85,3.423,82,2.594,80,2.83,79,3.535,80,3.255
M,Pérez,6.0,6.0,Leicester,69,3.497,65,2.463,30,1.344,62,3.437,62,3.09
M,Maddison,6.9,6.9,Leicester,69,4.008,66,2.709,64,3.056,65,4.1,63,3.542
F,Iheanacho,7.4,7.4,Leicester,26,1.568,28,1.264,29,1.46,29,1.854,32,1.842
M,Choudhury,4.5,4.5,Leicester,1,0.036,1,0.031,1,0.033,2,0.076,2,0.071
M,Barnes,7.0,7.0,Leicester,73,4.143,74,3.006,74,3.468,73,4.478,71,3.882
M,Ndidi,5.0,5.0,Leicester,85,2.765,81,2.143,80,2.349,80,2.863,79,2.558
D,Söyüncü,5.0,5.0,Leicester,84,3.401,75,1.706,69,2.355,68,3.262,67,2.762
D,Justin,5.0,5.0,Leicester,0,0,0,0,0,0,0,0,0,0
D,Thomas,4.5,4.5,Leicester,35,1.413,37,0.878,36,1.229,38,1.805,40,1.635
D,Fofana,4.4,4.4,Leicester,0,0,0,0,0,0,0,0,0,0
M,Milner,5.0,5.0,Liverpool,9,0.337,9,0.397,12,0.611,10,0.448,12,0.446
M,Henderson,5.0,5.0,Liverpool,70,2.221,69,2.467,65,2.73,64,2.389,64,2.031
G,Adrián,4.5,4.5,Liverpool,0,0,0,0,2,0.099,2,0.09,3,0.115
D,Matip,5.0,5.0,Liverpool,81,2.877,79,3.1,79,4.572,76,3.633,75,2.336
M,Thiago,5.4,5.4,Liverpool,54,1.637,66,2.231,65,2.574,65,2.282,65,1.944
M,Shaqiri,5.9,5.9,Liverpool,0,0,0,0,0,0,0,0,0,0
M,Chamberlain,6.0,6.0,Liverpool,2,0.071,2,0.081,1,0.046,2,0.082,3,0.106
F,Firmino,9.0,9.0,Liverpool,40,1.758,42,2.312,45,2.74,42,2.216,41,1.836
D,van Dijk,6.5,6.5,Liverpool,88,3.28,84,3.469,82,4.872,82,4.043,80,2.609
M,Mané,11.9,11.9,Liverpool,83,4.105,80,5.176,79,6.143,77,4.93,76,3.729
G,Alisson,6.0,6.0,Liverpool,89,3.775,88,3.686,87,4.463,86,4.015,85,3.408
M,Fabinho,5.5,5.5,Liverpool,46,1.379,51,1.703,59,2.264,56,1.929,55,1.628
M,Salah,12.6,12.5,Liverpool,84,4.932,81,6.326,83,7.739,84,6.377,83,4.764
D,Robertson,7.0,7.0,Liverpool,77,3.108,78,3.568,79,5.168,78,4.198,76,2.667
F,Origi,5.0,5.0,Liverpool,3,0.155,4,0.256,4,0.276,6,0.358,6,0.304
M,Minamino,5.4,5.4,Liverpool,2,0.09,3,0.163,3,0.187,5,0.267,5,0.224
D,Alexander-Arnold,7.5,7.5,Liverpool,87,3.819,84,4.3,83,6.06,83,4.94,80,3.132
D,Gomez,4.9,4.9,Liverpool,2,0.064,4,0.136,6,0.294,8,0.332,8,0.226
M,Keita,5.0,5.0,Liverpool,45,1.567,41,1.67,42,1.985,43,1.776,43,1.47
M,Jota,7.6,7.6,Liverpool,65,3.143,69,4.285,61,4.577,61,3.822,59,2.83
D,Phillips,4.4,4.4,Liverpool,0,0,0,0,0,0,0,0,0,0
G,Kelleher,4.5,4.5,Liverpool,0,0,0,0,0,0,0,0,0,0
D,Konaté,5.3,5.3,Liverpool,6,0.204,11,0.406,12,0.646,12,0.538,16,0.483
M,Jones,5.0,5.0,Liverpool,8,0.29,4,0.165,4,0.186,6,0.25,6,0.213
D,Tsimikas,4.2,4.1,Liverpool,22,0.808,9,0.371,10,0.601,3,0.149,2,0.066
D,N.Williams,4.0,4.0,Liverpool,0,0,1,0.04,2,0.111,2,0.093,3,0.095
D,R.Williams,4.4,4.4,Liverpool,0,0,0,0,0,0,0,0,0,0
D,Davies,4.0,4.0,Liverpool,0,0,0,0,0,0,0,0,0,0
D,Walker,5.5,5.5,Man City,79,4.097,77,3.136,77,4.234,75,2.6,73,2.371
M,Gündogan,7.4,7.4,Man City,72,3.795,66,3.024,67,3.945,67,2.559,66,2.657
M,De Bruyne,12.0,12.0,Man City,51,3.625,72,4.231,72,5.722,76,3.554,75,3.785
D,Stones,5.4,5.4,Man City,57,3.207,59,2.651,49,2.946,49,1.874,49,1.759
D,Mendy,5.5,5.5,Man City,15,0.812,19,0.824,19,1.108,20,0.731,21,0.726
M,Mahrez,9.0,9.0,Man City,64,4.772,55,3.508,55,4.729,54,2.78,54,3
M,Sterling,11.0,11.0,Man City,53,3.446,55,3.033,54,3.97,51,2.305,50,2.425
D,Cancelo,6.0,6.0,Man City,73,4.37,70,3.283,69,4.461,68,2.623,69,2.533
G,Ederson,6.0,6.0,Man City,89,4.478,88,3.92,87,4.468,87,3.719,86,3.536
D,Aké,5.0,5.0,Man City,0,0,1,0.044,2,0.117,3,0.111,5,0.178
D,Laporte,5.5,5.5,Man City,45,2.455,45,1.948,47,2.729,48,1.754,47,1.623
G,Steffen,4.5,4.5,Man City,0,0,1,0.044,2,0.102,2,0.084,2,0.081
M,Bernardo,7.0,7.0,Man City,17,0.882,20,0.896,21,1.157,21,0.809,24,0.961
D,Dias,6.0,6.0,Man City,82,4.228,81,3.289,78,4.242,77,2.658,76,2.449
F,Jesus,8.5,8.5,Man City,66,4.234,62,3.472,62,4.552,65,2.932,63,3.122
D,Zinchenko,5.5,5.5,Man City,1,0.052,4,0.167,4,0.223,5,0.178,5,0.173
M,Foden,7.9,7.9,Man City,0,0,4,0.242,10,0.788,18,0.91,17,0.909
M,Rodrigo,5.5,5.5,Man City,83,3.364,79,2.804,77,3.435,77,2.433,77,2.484
M,Harrison,6.0,6.0,Leeds,76,3.33,77,2.857,73,3.262,72,3.235,72,3.663
M,Torres,7.0,7.0,Man City,41,2.984,46,2.845,42,3.481,44,2.202,42,2.28
F,Cavani,8.5,8.5,Man Utd,28,1.401,63,3.97,60,3.031,62,3.621,62,3.465
G,de Gea,5.0,5.0,Man Utd,80,3.516,64,3.079,63,2.569,62,2.807,52,2.359
M,Matic,4.5,4.5,Man Utd,30,1.03,28,1.072,30,0.982,30,1.08,28,0.999
M,Pogba,7.7,7.7,Man Utd,76,4.073,74,4.887,73,3.739,70,4.276,69,4.026
D,Maguire,5.5,5.5,Man Utd,88,3.988,85,4.708,83,3.13,80,3.948,83,4.035
M,Fred,5.0,5.0,Man Utd,80,2.555,74,2.762,72,2.216,73,2.545,74,2.524
D,Shaw,5.5,5.5,Man Utd,87,4.419,83,5.335,81,3.492,81,4.556,79,4.376
M,Lingard,7.0,7.0,Man Utd,4,0.191,6,0.343,8,0.375,10,0.534,9,0.465
M,Fernandes,12.1,12.1,Man Utd,84,5.466,87,7.174,85,5.208,83,6.227,82,5.857
F,Martial,7.9,7.9,Man Utd,43,2.174,38,2.276,37,1.835,38,2.159,41,2.196
D,Telles,5.0,5.0,Man Utd,0,0,2,0.121,7,0.3,8,0.436,10,0.535
G,Henderson,4.9,4.9,Man Utd,12,0.535,38,1.848,54,2.231,55,2.521,56,2.569
M,Rashford,9.4,9.4,Man Utd,0,0,0,0,0,0,0,0,0,0
M,van de Beek,5.9,5.9,Man Utd,3,0.128,3,0.146,5,0.202,5,0.23,5,0.224
D,Tuanzebe,4.5,4.5,Aston Villa,0,0,6,0.118,9,0.309,8,0.153,10,0.235
D,Lindelöf,5.0,5.0,Man Utd,12,0.501,10,0.488,11,0.386,11,0.49,14,0.62
M,McTominay,5.5,5.5,Man Utd,54,2.064,51,2.274,53,1.922,49,2.035,52,2.106
D,Bailly,5.0,5.0,Man Utd,1,0.041,3,0.142,5,0.168,6,0.258,9,0.387
M,James,6.0,6.0,Man Utd,9,0.463,8,0.493,9,0.435,10,0.56,11,0.594
D,Wan-Bissaka,5.5,5.5,Man Utd,86,3.648,84,4.318,83,2.907,82,3.758,79,3.586
M,Greenwood,7.6,7.5,Man Utd,75,4.206,75,4.944,75,3.869,75,4.522,75,4.321
D,Williams,4.0,4.0,Man Utd,4,0.167,6,0.301,5,0.176,3,0.135,4,0.179
M,Shelvey,5.5,5.5,Newcastle,7,0.26,28,0.821,29,1.03,31,1.063,30,0.972
D,Ritchie,5.0,5.0,Newcastle,79,3.356,77,1.387,74,2.741,75,2.988,74,2.432
D,Clark,4.5,4.5,Newcastle,41,1.434,42,0.679,41,1.257,44,1.495,45,1.298
G,Darlow,4.5,4.5,Newcastle,0,0,0,0,0,0,0,0,0,0
G,Dubravka,4.5,4.5,Newcastle,0,0,0,0,0,0,0,0,0,0
F,Wilson,7.5,7.5,Newcastle,84,4.646,81,2.963,80,4.48,78,3.853,77,3.38
M,Hendrick,4.9,4.9,Newcastle,9,0.313,4,0.121,4,0.14,5,0.169,4,0.129
M,Fraser,5.4,5.4,Newcastle,15,0.726,16,0.574,17,0.796,20,0.879,17,0.686
D,Lascelles,4.5,4.5,Newcastle,78,2.474,75,1.058,74,2.042,76,2.369,75,1.98
F,Gayle,5.5,5.5,Newcastle,3,0.169,4,0.167,5,0.283,5,0.258,6,0.28
D,Dummett,4.5,4.5,Newcastle,0,0,0,0,0,0,0,0,0,0
D,Manquillo,4.0,4.0,Newcastle,0,0,0,0,0,0,0,0,0,0
D,Krafth,4.5,4.5,Newcastle,5,0.166,6,0.099,7,0.204,8,0.261,10,0.281
M,Murphy,5.0,5.0,Newcastle,81,2.833,79,2.186,78,2.72,76,2.562,77,2.433
D,Schär,4.5,4.5,Newcastle,53,1.837,57,0.854,56,1.682,52,1.751,56,1.562
M,Hayden,4.5,4.5,Newcastle,59,1.772,76,1.863,76,2.251,75,2.184,73,2.014
F,Saint-Maximin,6.5,6.5,Newcastle,66,2.936,62,2.112,62,2.86,64,2.664,60,2.266
M,Almirón,5.5,5.5,Newcastle,72,2.76,65,1.942,67,2.587,65,2.379,63,2.163
M,S.Longstaff,4.5,4.5,Newcastle,51,1.708,36,1.051,37,1.301,37,1.26,37,1.192
F,Joelinton,5.9,5.9,Newcastle,34,1.653,35,1.272,35,1.729,37,1.696,41,1.679
D,Lewis,4.5,4.5,Newcastle,10,0.327,12,0.191,14,0.411,14,0.461,14,0.393
M,M.Longstaff,4.5,4.5,Newcastle,2,0.073,0,0,0,0,0,0,0,0
G,McGovern,4.0,4.0,Norwich,0,0,0,0,0,0,0,0,0,0
G,Krul,4.5,4.5,Norwich,89,3.302,89,3.204,88,3.784,88,3.204,86,3.389
F,Pukki,6.0,6.0,Norwich,81,3.843,78,3.285,78,4.483,76,3.337,72,3.518
M,Stiepermann,5.0,5.0,Norwich,0,0,0,0,0,0,0,0,0,0
M,Rupp,4.5,4.5,Norwich,44,1.459,44,1.387,44,1.686,45,1.433,43,1.484
M,McLean,4.9,4.9,Norwich,45,1.472,43,1.342,45,1.672,47,1.483,47,1.58
D,Hanley,4.5,4.5,Norwich,87,2.198,83,1.813,82,3.33,82,1.89,81,2.516
M,Hernández,4.9,4.9,Norwich,26,1.044,27,1.007,31,1.442,28,1.065,29,1.185
D,Byram,4.5,4.5,Norwich,0,0,0,0,0,0,0,0,0,0
F,Hugill,5.4,5.4,Norwich,6,0.292,8,0.359,8,0.47,9,0.413,11,0.55
M,Dowell,5.4,5.4,Norwich,49,2.033,49,1.872,50,2.535,49,1.916,47,2.033
D,Zimmermann,4.5,4.5,Norwich,3,0.073,5,0.107,8,0.293,10,0.22,9,0.262
M,Cantwell,5.5,5.5,Norwich,75,2.633,73,2.397,68,2.877,69,2.336,70,2.568
D,Aarons,4.5,4.5,Norwich,89,2.311,85,1.895,84,3.448,83,1.948,82,2.587
D,Sørensen,4.5,4.5,Norwich,10,0.266,14,0.325,13,0.538,10,0.241,13,0.408
M,Placheta,4.9,4.9,Norwich,5,0.203,7,0.267,10,0.471,10,0.388,9,0.377
F,Idah,5.0,5.0,Norwich,2,0.093,3,0.136,3,0.176,4,0.185,5,0.264
M,Martin,5.0,5.0,Norwich,0,0,0,0,0,0,0,0,0,0
D,Omobamidele,4.0,4.0,Norwich,10,0.259,17,0.375,21,0.803,19,0.434,21,0.637
M,Walcott,6.0,6.0,Southampton,40,1.661,38,1.567,43,1.339,40,1.7,40,1.293
G,Forster,4.5,4.5,Southampton,25,1.009,25,0.986,28,1.006,27,1.148,25,0.882
G,McCarthy,4.5,4.5,Southampton,64,2.588,64,2.527,61,2.196,62,2.64,64,2.262
M,Romeu,4.5,4.5,Southampton,82,2.347,79,2.243,77,1.785,77,2.284,76,1.819
M,Redmond,5.9,5.9,Southampton,30,1.261,32,1.366,29,0.941,36,1.573,36,1.182
F,Ings,8.1,8.1,Aston Villa,79,4.357,77,2.801,75,4.035,75,2.973,74,3.159
D,Stephens,4.5,4.5,Southampton,65,2.179,63,1.984,64,0.73,62,2.385,63,1.058
M,S.Armstrong,5.9,5.9,Southampton,47,1.875,50,1.985,48,1.432,47,1.91,50,1.531
D,Vestergaard,5.0,5.0,Leicester,67,3.072,55,1.438,44,1.7,36,1.939,37,1.724
M,Ward-Prowse,6.5,6.5,Southampton,87,3.824,84,3.654,83,2.445,82,3.715,80,2.464
D,Walker-Peters,5.0,5.0,Southampton,13,0.432,19,0.597,20,0.239,21,0.8,23,0.394
D,Bednarek,4.5,4.5,Southampton,49,1.531,51,1.503,51,0.526,51,1.836,52,0.807
F,Nlundulu,4.5,4.5,Southampton,0,0,0,0,0,0,0,0,0,0
F,Adams,7.0,7.0,Southampton,81,3.752,79,3.674,78,2.478,75,3.497,74,2.43
M,Tella,4.9,4.9,Southampton,32,1.304,32,1.295,36,1.099,36,1.489,36,1.134
M,Smallbone,4.5,4.5,Southampton,0,0,0,0,0,0,0,0,0,0
F,Obafemi,4.5,4.5,Southampton,0,0,0,0,0,0,0,0,0,0
M,Diallo,4.5,4.5,Southampton,3,0.095,4,0.126,6,0.167,7,0.225,7,0.197
M,Djenepo,5.5,5.5,Southampton,46,1.791,51,1.953,49,1.432,50,1.995,48,1.454
D,Salisu,4.5,4.5,Southampton,65,2.114,65,1.97,63,0.678,65,2.325,64,1.026
G,Hart,4.5,4.5,Spurs,0,0,0,0,0,0,0,0,0,0
G,Lloris,5.5,5.5,Spurs,89,4.33,88,3.959,87,3.43,87,3.524,86,3.79
M,Sissoko,4.5,4.5,Spurs,0,0,1,0.036,2,0.065,3,0.101,3,0.112
D,Alderweireld,5.0,5.0,Spurs,0,0,0,0,0,0,0,0,0,0
M,Lamela,6.0,6.0,Spurs,0,0,0,0,0,0,0,0,0,0
F,Kane,12.3,12.3,Spurs,73,5.428,81,5.502,82,4.194,74,4.306,72,5.355
D,Aurier,5.0,5.0,Spurs,0,0,1,0.046,1,0.033,1,0.035,0,0
M,Son,10.0,10.0,Spurs,83,5.742,81,4.993,78,3.639,77,4.024,76,5.009
D,Doherty,4.9,4.9,Spurs,14,0.718,15,0.677,14,0.453,22,0.759,18,0.803
D,Dier,4.5,4.5,Spurs,87,4.483,67,2.94,65,2.024,65,2.152,64,2.772
M,Lucas Moura,6.5,6.5,Spurs,65,3.581,63,3.156,61,2.441,62,2.677,61,3.241
M,Dele,6.5,6.5,Spurs,72,4.06,69,3.47,68,2.659,67,2.88,66,3.333
D,Davies,4.5,4.5,Spurs,4,0.195,8,0.338,13,0.393,13,0.416,17,0.704
M,Højbjerg,5.0,5.0,Spurs,86,2.996,85,2.7,81,2.234,80,2.301,80,2.632
M,Winks,4.5,4.5,Spurs,3,0.106,4,0.134,4,0.122,6,0.188,6,0.204
D,Sánchez,4.5,4.5,Spurs,87,4.168,84,3.455,84,2.463,83,2.577,80,3.234
D,Sessegnon,4.5,4.5,Spurs,4,0.253,4,0.218,6,0.231,8,0.34,11,0.622
M,Bergwijn,6.0,6.0,Spurs,45,2.477,43,2.132,42,1.68,46,1.974,42,2.211
D,Reguilón,5.0,5.0,Spurs,85,4.573,84,3.866,81,2.573,78,2.654,78,3.54
D,Tanganga,4.5,4.5,Spurs,74,3.579,76,3.132,77,2.244,72,2.227,74,3.002
M,Lo Celso,6.0,6.0,Spurs,20,0.998,22,0.998,21,0.789,21,0.84,22,1.052
M,Skipp,4.5,4.5,Spurs,53,1.812,49,1.574,48,1.379,47,1.387,49,1.595
D,Rodon,4.5,4.5,Spurs,0,0,0,0,0,0,0,0,0,0
M,Ndombele,5.9,5.9,Spurs,45,1.839,48,1.818,54,1.731,51,1.707,53,2.044
G,Foster,4.0,4.0,Watford,0,0,0,0,0,0,0,0,0,0
D,Rose,4.4,4.4,Watford,10,0.208,11,0.366,12,0.369,14,0.514,13,0.276
M,Gosling,4.9,4.9,Watford,16,0.524,11,0.412,13,0.483,11,0.437,13,0.458
D,Cathcart,4.5,4.5,Watford,73,1.502,71,2.37,68,2.071,69,2.557,70,1.447
F,Deeney,5.5,5.5,Watford,22,0.906,24,1.182,21,1.047,24,1.322,25,1.162
M,Cleverley,5.0,5.0,Watford,78,2.417,71,2.664,70,2.633,68,2.85,70,2.432
D,Femenía,4.4,4.4,Watford,13,0.292,14,0.488,16,0.513,16,0.609,14,0.318
F,Gray,5.4,5.4,Watford,1,0.043,0,0,0,0,1,0.057,1,0.048
D,Kabasele,4.5,4.5,Watford,84,1.807,81,2.855,81,2.609,79,3.119,78,1.73
M,Chalobah,5.0,5.0,Watford,21,0.581,54,1.728,54,1.719,53,1.807,50,1.498
M,Hughes,4.9,4.9,Watford,0,0,0,0,0,0,0,0,0,0
D,Troost-Ekong,4.5,4.5,Watford,82,1.678,80,2.661,79,2.393,80,2.941,79,1.625
F,Perica,4.5,4.5,Watford,0,0,0,0,0,0,0,0,0,0
G,Bachmann,4.5,4.5,Watford,89,3.203,89,3.659,88,3.466,88,3.793,87,3.142
D,Masina,4.5,4.5,Watford,79,1.696,78,2.739,76,2.444,74,2.857,75,1.648
M,Sema,5.5,5.5,Watford,56,1.793,54,2.054,56,2.122,53,2.194,55,1.941
